N,Z,binding,A,binding_MeV,N_frontier,d
129,84,7794.024,213,1660.1271120000001,130.7,-1.6999999999999886
118,89,7681.1001,207,1589.9877207,137.7,-19.69999999999999
123,81,7880.0238,204,1607.5248552,124.4,-1.4000000000000057
61,45,8553.9317,106,906.7167602,71.3,-10.299999999999997
104,77,7956.5242,181,1440.1308801999999,115.7,-11.700000000000003
67,61,8075.0,128,1033.6,92.9,-25.900000000000006
90,74,7951.4515,164,1304.0380460000001,111.0,-21.0
86,62,8279.6326,148,1225.3856248000002,94.3,-8.299999999999997
144,101,7441.0,245,1823.045,154.2,-10.199999999999989
65,47,8516.0807,112,953.8010383999999,73.0,-8.0
42,36,8661.2385,78,675.576603,55.4,-13.399999999999999
45,44,8340.376,89,742.2934640000001,69.0,-24.0
116,87,7731.7092,203,1569.5369676,135.2,-19.19999999999999
137,89,7655.6628,226,1730.1797928,137.7,-0.6999999999999886
76,53,8435.9908,129,1088.2428131999998,82.3,-6.299999999999997
62,45,8554.104,107,915.2891279999999,71.3,-9.299999999999997
72,47,8423.2126,119,1002.3622994000001,73.0,-1.0
63,48,8537.0801,111,947.6158910999999,74.0,-11.0
10,8,7767.0981,18,139.8077658,14.2,-4.199999999999999
68,60,8177.0,128,1046.656,91.6,-23.599999999999994
88,62,8261.6235,150,1239.2435249999999,94.3,-6.299999999999997
38,33,8663.935,71,615.139385,50.0,-12.0
59,43,8570.6514,102,874.2064428000001,67.9,-8.900000000000006
87,58,8289.8762,145,1202.032049,88.6,-1.5999999999999943
62,44,8560.9406,106,907.4597036,69.0,-7.0
73,67,7906.0,140,1106.84,99.6,-26.599999999999994
125,87,7766.8455,212,1646.5712460000002,135.2,-10.199999999999989
21,27,7595.0,48,364.56,41.7,-20.700000000000003
80,59,8349.5208,139,1160.5833912,90.6,-10.599999999999994
157,104,7371.3858,261,1923.9316938,157.4,-0.4000000000000057
63,51,8462.5191,114,964.7271774,79.3,-16.299999999999997
105,76,7983.4263,181,1445.0001602999998,114.4,-9.400000000000006
144,93,7574.9895,237,1795.2725115,144.1,-0.09999999999999432
53,36,8614.8158,89,766.7186062000001,55.4,-2.3999999999999986
82,62,8303.68,144,1195.72992,94.3,-12.299999999999997
51,44,8587.4706,95,815.8097070000001,69.0,-18.0
147,95,7534.9917,242,1823.4679914,148.0,-1.0
59,48,8533.3524,107,913.0687068,74.0,-15.0
15,15,8353.5064,30,250.60519200000002,24.7,-9.7
131,90,7676.064,221,1696.410144,139.0,-8.0
